id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
16,"PIMA COUNTY TREASURER							
150 W. CONGRESS ST.							
TUCSON, AZ 85701",Pima,AZ,86-6000543,COUNTY GOVERNMENT,950446,NA,04019 
17,"PINAL COUNTY TREASURER
P.O. BOX 729
FLORENCE, AZ 85132",Pinal,AZ,86-6000556,COUNTY GOVERNMENT,472562,NA,04021 
18,"YUMA COUNTY RECORDER
197 S. MAIN ST.
YUMA, AZ 85364",Yuma,AZ,86-6000567,COUNTY GOVERNMENT,180765,NA,04027 
19,"BAXTER COUNTY
1 EAST 7TH ST.
MOUNTAIN HOME, AR 72653",Baxter,AR,71-6008786,COUNTY GOVERNMENT,20091,NA,05005 
20,"COUNTY CLERK
414 W. CENTRAL, SUITE B
HARRISON, AR 72601",Boone,AR,71-0386082,COUNTY GOVERNMENT,17331,NA,05009 
21,"CARROLL COUNTY
210 W. CHURCH AVE.
BERRYVILLE, AR 72616",Carroll,AR,71-6000688,COUNTY GOVERNMENT,14130,NA,05015 
22,"CLEBURNE COUNTY TREASURER
301 W. MAIN ST.
HEBER SPRINGS, AR 72543",Cleburne,AR,71-6029346,COUNTY GOVERNMENT,12210,NA,05023 
23,"CONWAY COUNTY ELECTION COMMISSION
117 S. MOOSE
MORRILTON, AR 72110",Conway,AR,71-6008702,COUNTY GOVERNMENT,8730,NA,05029 
24,"CRAIGHEAD COUNTY							
P.O. BOX 746							
JONESBORO, AR 72421",Craighead,AR,71-6013764,COUNTY GOVERNMENT,59856,NA,05031 
25,"CRAWFORD COUNTY							
1003 BROADWAY ST.							
VAN BUREN, AR 72956",Crawford,AR,71-6012006,COUNTY GOVERNMENT,31535,NA,05033 
26,"FAULKNER COUNTY
801 LOCUST AVE.
CONWAY, AR 72034",Faulkner,AR,71-6045509,COUNTY GOVERNMENT,62808,NA,05045 
27,"GREENE COUNTY
320 W. COURT ST., STE. 106
PARAGOULD, AR 72450",Greene,AR,71-6009569,COUNTY GOVERNMENT,28501,NA,05055 
28,"HEMPSTEAD COUNTY CLERK OFFICE
P.O. 1420
HOPE, AR 71801",Hempstead,AR,71-6005475,COUNTY GOVERNMENT,17388,NA,05057 
29,"INDEPENDENCE COUNTY
192 E. MAIN ST.
BATESVILLE, AR 72501",Independence,AR,71-6016119,COUNTY GOVERNMENT,19355,NA,05063 
30,"JEFFERSON COUNTY
101 W. BARRAQUE ST., SUITE 107
PINE BLUFF, AR 71601",Jefferson,AR,71-6009958,COUNTY GOVERNMENT,126867,NA,05069 
31,"JOHNSON COUNTY
P.O. BOX 57
CLARKSVILLE, AR 72830",Johnson,AR,71-6001704,COUNTY GOVERNMENT,17290,NA,05071 
32,"LAFAYETTE COUNTY
#2 COURTHOUSE SQUARE
LEWISVILLE, AR 71845",Lafayette,AR,71-6012930,COUNTY GOVERNMENT,6475,NA,05073 
33,"LITTLE RIVER COUNTY							
351 N. 2ND ST.							
ASHDOWN, AR 71822",Little River,AR,71-6000232,COUNTY GOVERNMENT,7792,NA,05081 
34,"LONOKE COUNTY							
301 N. CENTER ST.							
LONOKE, AR 72086",Lonoke,AR,71-6007709,COUNTY GOVERNMENT,11284,NA,05085 
35,"MILLER COUNTY CLERK
400 LAUREL ST., SUITE 105
TEXARKANA, AR 71854",Miller,AR,71-6011634,COUNTY GOVERNMENT,34487,NA,05091 
36,"MENA
507 CHURCH AVE., SUITE 9
MENA, AR 71953",Mena,AR,71-6008466,COUNTY GOVERNMENT,12767,NA,NA
37,"PULASKI COUNTY
201 S. BROADWAY
LITTLE ROCK, AR 72201",Pulaski,AR,71-6006487,COUNTY GOVERNMENT,468132,NA,05119 
38,"SEVIER COUNTY ELECTION COMMISSION
115 N. 3RD ST., ROOM 102
DE QUEEN, AR 71832",Sevier,AR,71-0422836,COUNTY GOVERNMENT,11575,NA,05133 
39,"WASHINGTON COUNTY
280 N. COLLEGE, SUITE 500
FAYETTEVILLE, AR 72701",Washington,AR,71-6003197,COUNTY GOVERNMENT,217852,NA,05143 
40,"BUTTE COUNTY ELECTIONS
155 NELSON AVE.
OROVILLE, CA 95965",Butte,CA,94-6000506,COUNTY GOVERNMENT,112145,NA,06007 
41,"CITY & COUNTY OF SAN FRANCISCO
DEPARTMENT OF ELECTIONS - 1 DR.
CARLTON B. GOODLETT PL., ROOM 48 -
SAN FRANCISCO, CA 94102",San Francisco,CA,94-6000417,COUNTY GOVERNMENT,846801,NA,06075 
42,"CONTRA COSTA COUNTY CLERK-RECORDER							
555 ESCOBAR ST.							
MARTINEZ, CA 94553",Contra Costa,CA,94-6000509,COUNTY GOVERNMENT,913444,NA,06013 
43,"COUNTY OF ORANGE REGISTRAR OF							
VOTERS - REGISTRAR OF VOTERS -							
SANTA ANA, CA 92711",Orange,CA,95-6000928,COUNTY GOVERNMENT,2682902,NA,06059 
44,"COUNTY OF SANTA CLARA - REGISTRAR
OF VOTERS - 1553 BERGER DR. - SAN
JOSE, CA 95112",Santa Clara,CA,94-6000533,COUNTY GOVERNMENT,1427906,NA,06085 
45,"DEL NORTE COUNTY
981 H ST.
CRESCENT CITY, CA 95531",Del Norte,CA,94-2254126,COUNTY GOVERNMENT,24225,NA,06015 
46,"GLENN COUNTY CLERK-RECORDER
516 W. SYCAMORE ST., 2ND FL.
WILLOWS, CA 95988",Glenn,CA,94-6000691,COUNTY GOVERNMENT,18513,NA,06021 
47,"KERN COUNTY ELECTIONS
420 MONTGOMERY ST.
SAN FRANCISCO, CA 94104",Kern,CA,95-6000925,COUNTY GOVERNMENT,756323,NA,06029 
48,"COUNTY OF LAKE
255 N. FORBES ST.
LAKEPORT, CA 95453",Lake,CA,94-6000825,COUNTY GOVERNMENT,45619,NA,06033 
49,"LASSEN COUNTY CLERK
220 S. LASSEN ST. ANNEX
SUSANVILLE, CA 96130",Lassen,CA,94-6000517,COUNTY GOVERNMENT,22739,NA,06035 
50,"LOS ANGELES COUNTY
REGISTRAR-RECORDER/COUNTY CLERK -
12400 IMPERIAL HIGHWAY, ROOM 7211
- NORWALK, CA 90650",Los Angeles,CA,95-6000927,COUNTY GOVERNMENT,8266712,NA,06037 
51,"MADERA COUNTY CLERK-RECORDER							
200 W. FOURTH ST.							
MADERA, CA 93637",Madera,CA,94-6000518,COUNTY GOVERNMENT,132653,NA,06039 
52,"MENDOCINO COUNTY - ELECTIONS							
501 LOW GAP RD., ROOM 1020							
UKIAH, CA 95482",Mendocino,CA,94-6000520,COUNTY GOVERNMENT,55611,NA,06045 
53,"MERCED COUNTY ELECTIONS
2222 M ST.
MERCED, CA 95340",Merced,CA,94-6000521,COUNTY GOVERNMENT,218348,NA,06047 
54,"COUNTY OF MODOC ELECTIONS
DEPARTMENT - 108 E. MODOC ST. -
ALTURAS, CA 96101",Modoc,CA,93-6000522,COUNTY GOVERNMENT,5432,NA,06049 
55,"BRIDGEPORT
74 N. SCHOOL ST.
BRIDGEPORT, CA 93517",Mono,CA,95-6005661,COUNTY GOVERNMENT,8402,NA,06051 
56,"MONTEREY COUNTY ELECTIONS
1441 SCHILLING PLACE-NORTH BUILDIN
SALINAS, CA 93901",Monterey,CA,94-6000524,COUNTY GOVERNMENT,309926,NA,06053 
57,"PLACER COUNTY
CLERK-RECORDER-ELECTIONS - 2954
RICHARDSON DR. - AUBURN, CA 95603",Placer,CA,94-6000527,COUNTY GOVERNMENT,184353,NA,06061 
58,"COUNTY OF SACRAMENTO VOTER
REGISTRATION AND ELECTIONS - 7000
65TH ST. - SACRAMENTO, CA 95823",Sacramento,CA,94-6000529,COUNTY GOVERNMENT,1349703,NA,06067 
59,"COUNTY OF SAN BENITO DEPARTMENT OF
ELECTIONS - 440 FIFTH ST., ROOM
206 - HOLLISTER, CA 95023",San Benito,CA,94-6000530,COUNTY GOVERNMENT,44706,NA,06069 
60,"SAN BERNARDINO							
268 W. HOSPITALITY LN.							
SAN BERNARDINO, CA 92415",San Bernardino,CA,95-6002748,COUNTY GOVERNMENT,1770451,NA,06071 
61,"SAN JOAQUIN COUNTY REGISTRAR OF							
VOTERS - 44 N. SAN JOAQUIN ST. -							
STOCKTON, CA 95202",San Joaquin,CA,94-6000531,COUNTY GOVERNMENT,584948,NA,06077 
62,"COUNTY OF SAN LUIS OBISPO
CLERK-RECORDER - 1055 MONTEREY
ST., ROOM D120 - SAN LUIS OBISPO,
CA 93408",San Luis Obispo,CA,95-6000939,COUNTY GOVERNMENT,191894,NA,06079 
63,"SAN MATEO COUNTY REGISTRATION &
ELECTIONS DIVISION - 40 TOWER RD.
- SAN MATEO, CA 94402",San Mateo,CA,94-6000532,COUNTY GOVERNMENT,607513,NA,06081 
64,"SANTA CRUZ COUNTY
701 OCEAN ST.
SANTA CRUZ, CA 95060",Santa Cruz,CA,94-6000534,COUNTY GOVERNMENT,187645,NA,06087 
65,"SHASTA COUNTY ELECTIONS
1643 MARKET ST.
REDDING, CA 96001",Shasta,CA,94-6000535,COUNTY GOVERNMENT,95659,NA,06089 
66,"SOLANO COUNTY REGISTRAR OF VOTERS
675 TEXAS ST.
FAIRFIELD, CA 94533",Solano,CA,94-6000538,COUNTY GOVERNMENT,370038,NA,06095 
67,"SONOMA COUNTY REGISTRAR OF VOTERS
P.O. BOX 11485
SANTA ROSA, CA 95403",Sonoma,CA,94-6000539,COUNTY GOVERNMENT,315050,NA,06097 
68,"SUTTER COUNTY ELECTIONS
1435 VETERANS MEMORIAL CIRCLE
YUBA CITY, CA 95993",Sutter,CA,NA,COUNTY GOVERNMENT,74806,NA,06101 
69,"YOLO COUNTY ELECTIONS							
625 COURT ST.							
WOODLAND, CA 95695",Yolo,CA,94-6000548,COUNTY GOVERNMENT,176181,NA,06113 
70,"BOULDER COUNTY							
P.O. BOX 471							
BOULDER, CO 80306",Boulder,CO,84-6000748,COUNTY GOVERNMENT,185950,NA,08013 
71,"CITY AND COUNTY OF BROOMFIELD
1 DESCOMBES DR.
BROOMFIELD, CO 80020",Broomfield,CO,84-6014589,COUNTY GOVERNMENT,31434,NA,NA
72,"CITY AND COUNTY OF DENVER MANAGER
OF FINANCE - 200 W. 14TH AVE. -
DENVER, CO 80204",Denver,CO,84-6000580,COUNTY GOVERNMENT,499000,NA,08031 
73,"EAGLE COUNTY
P.O. BOX 537
EAGLE, CO 81631",Eagle,CO,84-6000762,COUNTY GOVERNMENT,26940,NA,08037 
74,"YUMA COUNTY CLERK AND RECORDER
310 ASH ST. SUITE F
WRAY, CO 80758",Yuma,CO,84-6000816,COUNTY GOVERNMENT,5400,NA,08125 
75,"TOWN OF AVON
145 BANK ST., WATERBURY
WATERBURY, CT 06702",Avon,CT,06-6001957,LOCAL GOVERNMENT,6505,NA,NA
76,"CITY OF BRIDGEPORT
999 BROAD ST.
BRIDGEPORT, CT 06604",Bridgeport,CT,06-6001865,LOCAL GOVERNMENT,315135,NA,NA
77,"BRISTOL TOWN AND CITY CLERK
111 N. MAIN ST.
BRISTOL, CT 06010",Bristol,CT,06-6001866,LOCAL GOVERNMENT,37336,NA,NA
78,"TOWN OF EAST HARTFORD							
740 MAIN STREET							
EAST HARTFORD, CT 06108",East Hartford,CT,08-6001989,LOCAL GOVERNMENT,46305,NA,NA
79,"TOWN OF EAST LYME							
P.O. BOX 519							
NIANTIC, CT 06357",East Lyme,CT,06-6001991,LOCAL GOVERNMENT,9042,NA,NA
80,"TOWN GENERAL FUND
725 OLD POST RD.
FAIRFIELD, CT 06824",Fairfield,CT,06-6001998,LOCAL GOVERNMENT,19391,NA,09001 
81,"TOWN OF GLASTONBURY
2155 MAIN ST.
GLASTONBURY, CT 06033",Glastonbury,CT,NA,LOCAL GOVERNMENT,9341,NA,NA
82,"TOWN OF GREENWICH-GENERAL FUND
101 FIELD POINT RD.
GREENWICH, CT 06830",Greenwich,CT,06-6002006,LOCAL GOVERNMENT,28007,NA,NA
83,"GROTON REGISTRARS OF VOTERS
45 FORT HILL RD.
GROTON, CT 06340",Groton,CT,06-6002010,LOCAL GOVERNMENT,18189,NA,NA
84,"CITY OF HARTFORD DEPARTMENT OF
TOWN CLERK - 250 CONSTITUTION
PLAZA - HARTFORD, CT 06103",Hartford,CT,NA,LOCAL GOVERNMENT,346326,NA,09003 
85,"HARTFORD TOWN
550 MAIN ST.
HARTFORD, CT 06103",Hartford,CT,06-6001870,LOCAL GOVERNMENT,346326,NA,09003 
86,"TOWN OF MADISON
8 CAMPUS DRIVE
MADISON, CT 06443",Madison,CT,06-6002028,LOCAL GOVERNMENT,5200,NA,NA
87,"TOWN OF MANCHESTER							
41 CENTER ST.							
MANCHESTER, CT 06045",Manchester,CT,06-6002029,LOCAL GOVERNMENT,35663,NA,NA
88,"CITY OF MERIDEN							
142 E. MAIN ST., RM 124							
MERIDEN, CT 06450",Meriden,CT,06-6001893,LOCAL GOVERNMENT,38391,NA,NA
89,"TOWN OF MONTVILLE
310 NORWICH NEW LONDON TPKE.
UNCASVILLE, CT 06382",Montville,CT,06-6002039,LOCAL GOVERNMENT,10952,NA,NA
90,"CITY OF NEW BRITAIN
27 W. MAIN ST.
NEW BRITAIN, CT 06051",New Britain,CT,NA,LOCAL GOVERNMENT,55614,NA,NA
91,"TOWN OF NEW MILFORD
10 MAIN ST.
NEW MILFORD, CT 06776",New Milford,CT,06-6002046,LOCAL GOVERNMENT,10270,NA,NA
92,"TOWN OF NEWTOWN
3 PRIMROSE ST.
NEWTOWN, CT 06470",Newtown,CT,06-6002048,LOCAL GOVERNMENT,10093,NA,NA
93,"CITY OF NORWALK CT
125 EAST AVE.
NORWALK, CT 06856",Norwalk,CT,NA,LOCAL GOVERNMENT,51714,NA,NA
94,"CITY OF NORWICH - FINANCE
DEPARTMENT - 100 BROADWAY, ROOM
105 - NORWICH, CT 06360",Norwich,CT,06-6001888,LOCAL GOVERNMENT,26046,NA,NA
95,"TOWN OF ORANGE
617 ORANGE CENTER RD.
ORANGE, CT 06477",Orange,CT,NA,LOCAL GOVERNMENT,5253,NA,NA
96,"TOWN OF SIMSBURY							
933 HOPMEADOW ST.							
SIMSBURY, CT 06070",Simsbury,CT,06-6002085,LOCAL GOVERNMENT,8683,NA,NA
97,"TOWN OF SOUTH WINDSOR							
1540 SULLIVAN AVE.							
SOUTH WINDSOR, CT 06074",South Windsor,CT,06-6002088,LOCAL GOVERNMENT,8528,NA,NA
98,"TOWN OF SOUTHINGTON ELECTIONS
75 MAIN ST.
SOUTHINGTON, CT 06422",Southington,CT,06-6002091,LOCAL GOVERNMENT,20124,NA,NA
99,"TOWN OF STONINGTON, CT
152 ELM ST.
STONINGTON, CT 06378",Stonington,CT,06-6002101,LOCAL GOVERNMENT,7415,NA,NA
100,"TOWN OF STRATFORD
2725 MAIN ST., ROOM 200
STRATFORD, CT 06615",Stratford,CT,06-6002103,LOCAL GOVERNMENT,31824,NA,NA
101,"TOWN OF SUFFIELD
83 MOUNTAIN RD.
SUFFIELD, CT 06078",Suffield,CT,06-6002104,LOCAL GOVERNMENT,5526,NA,NA
102,"CITY OF TORRINGTON
140 MAIN ST.
TORRINGTON, CT 06790",Torrington,CT,06-6001898,LOCAL GOVERNMENT,15367,NA,NA
103,"TOWN OF FARMINGTON
1 MONTEITH DR.
FARMINGTON, CT 06032",Farmington,CT,06-6001999,LOCAL GOVERNMENT,88335,NA,NA
104,"CITY OF WATERBURY
235 GRAND ST.
WATERBURY, CT 06702",Waterbury,CT,06-6001900,LOCAL GOVERNMENT,82704,NA,NA
105,"TOWN OF WATERFORD							
15 ROPE FERRY RD.							
WATERFORD, CT 06385",Waterford,CT,06-6002121,LOCAL GOVERNMENT,18360,NA,NA
106,"TOWN OF WEST HARTFORD							
50 S. MAIN ST.							
WEST HARTFORD, CT 06107",West Hartford,CT,06-6002124,LOCAL GOVERNMENT,31952,NA,NA
107,"TOWN OF WESTPORT
110 MYRTLE AVE.
WESTPORT, CT 06880",Westport,CT,06-6002128,LOCAL GOVERNMENT,9255,NA,NA
108,"TOWN OF WETHERSFIELD ELECTIONS
DEPARTMENT - 505 SILAS DEANE HWY.
- WETHERSFIELD, CT 06109",Wethersfield,CT,06-6002130,LOCAL GOVERNMENT,9760,NA,NA
109,"TOWN OF WILTON
238 DANBURY RD.
WILTON, CT 06897",Wilton,CT,06-6002133,LOCAL GOVERNMENT,6113,NA,NA
110,"TOWN OF WINDHAM
979 MAIN ST.
WILLIMANTIC, CT 06226",Windham,CT,06-6002135,LOCAL GOVERNMENT,22744,NA,09015 
111,"TOWN OF WINDSOR
275 BROAD ST.
WINDSOR, CT 06095",Windsor,CT,06-6002136,LOCAL GOVERNMENT,18604,NA,NA
112,"DISTRICT OF COLUMBIA BOARD OF
ELECTIONS - 1015 HALF ST. SE -
WASHINGTON, DC 20003",Washington,DC,NA,LOCAL GOVERNMENT,617613,NA,11001 
113,"WAKULLA COUNTY SUPERVISOR OF
ELECTIONS - P.O. BOX 305 -
CRAWFORDVILLE, FL 32326",Wakulla,FL,59-6031875,COUNTY GOVERNMENT,69564,NA,12129 
114,"ALACHUA COUNTY SUPERVISOR OF							
ELECTIONS - 515 N. MAIN ST., SUITE							
300 - GAINESVILLE, FL 32601",Alachua,FL,59-6000501,COUNTY GOVERNMENT,671280,NA,12001 
115,"BREVARD COUNTY SUPERVISOR OF							
ELECTIONS - P.O. BOX 410819 -							
MELBOURNE, FL 33294",Brevard,FL,82-2465109,COUNTY GOVERNMENT,836169,NA,12009 
116,"BROWARD COUNTY
115 S. ANDREWS AVE.
FORT LAUDERDALE, FL 33301",Broward,FL,59-6000531,COUNTY GOVERNMENT,1424971,NA,12011 
117,"HERNANDO COUNTY SUPERVISOR OF
ELECTIONS - 20 N. MAIN ST. -
BROOKSVILLE, FL 34601",Hernando,FL,59-1879880,COUNTY GOVERNMENT,107162,NA,12053 
118,"HILLSBOROUGH COUNTY SUPERVISOR OF
ELECTIONS - 601 E KENNEDY BLVD. -
TAMPA, FL 33602",Hillsborough,FL,59-6000661,COUNTY GOVERNMENT,2932375,NA,12057 
119,"LAKE COUNTY SUPERVISOR OF
ELECTIONS - P.O. BOX 457 -
TAVARES, FL 32778",Lake,FL,NA,COUNTY GOVERNMENT,195900,NA,12069 
120,"LEON COUNTY SUPERVISOR OF
ELECTIONS - 301 S. MONROE ST. -
TALLAHASSEE, FL 32301",Leon,FL,59-6000708,COUNTY GOVERNMENT,1437386,NA,12073 
121,"MIAMI DADE COUNTY
2700 NW 87 AVENUE
MIAMI, FL 33172",Miami-Dade,FL,59-6000573,COUNTY GOVERNMENT,2059850,NA,12086 
122,"OSCEOLA COUNTY SUPERVISOR OF
ELECTIONS - 2509 E. IRLO BRONSON
MEMORIAL HWY. - KISSIMMEE, FL
34744",Osceola,FL,59-2060158,COUNTY GOVERNMENT,109404,NA,12097 
123,"PALM BEACH COUNTY SUPERVISOR OF							
ELECTIONS OFFICE - 240 S. MILITARY							
TRAIL - WEST PALM BEACH, FL 33415",Palm Beach,FL,74-3196272,COUNTY GOVERNMENT,6196889,NA,12099 
124,"BARROW COUNTY BOARD OF							
COMMISSIONERS - 233 E. BROAD ST. -							
WINDER, GA 30680",Barrow,GA,58-6000783,COUNTY GOVERNMENT,40632,NA,13013 
125,"BARTOW COUNTY COMMISSIONER'S
OFFICE - 135 WEST CHEROKEE AVE.,
SUITE 251 - CARTERSVILLE, GA 30120",Bartow,GA,58-6001727,COUNTY GOVERNMENT,37316,NA,13015 
126,"MACON-BIBB COUNTY COMMISSION
2525 PIO NONO AVE.
MACON, GA 31206",Bibb,GA,46-3992371,COUNTY GOVERNMENT,752712,NA,13021 
127,"BULLOCH COUNTY BOARD OF
COMMISSIONERS - 115 N. MAIN ST. -
STATESBORO, GA 30458",Bulloch,GA,58-6000789,COUNTY GOVERNMENT,60037,NA,13031 
128,"CAMDEN COUNTY BOARD OF
COMMISSIONERS - P.O. BOX 99 -
WOODBINE, GA 31569",Camden,GA,58-6000792,COUNTY GOVERNMENT,34196,NA,13039 
129,"BOARD OF COMMISSIONERS OF CARROLL
COUNTY - P.O. BOX 338 -
CARROLLTON, GA 30112",Carroll,GA,58-6000794,COUNTY GOVERNMENT,170733,NA,13045 
130,"CHARLTON COUNTY BOARD OF
COMMISSIONERS - 68 KINGSLAND DR.,
SUITE B - FOLKSTON, GA 31537",Charlton,GA,58-6000996,COUNTY GOVERNMENT,9865,NA,13049 
131,"CHATHAM COUNTY BOARD OF
COMMISSIONERS - P.O. BOX 63020 -
SAN FRANCISCO, CA 94163",Chatham,GA,58-6001113,COUNTY GOVERNMENT,1030786,NA,13051 
132,"CUSSETA-CHATTAHOOCHEE COUNTY							
215 MCNAUGHTON SY.							
CUSSETA, GA 31805",Chattahoochee,GA,57-1179239,COUNTY GOVERNMENT,17267,NA,13053 
133,"CHEROKEE COUNTY BOARD OF							
COMMISSIONERS - 1130 BLUFFS							
PARKWAY - CANTON, GA 30114",Cherokee,GA,58-6000799,COUNTY GOVERNMENT,765293,NA,13057 
134,"CLAYTON COUNTY BOARD OF
COMMISSIONERS - 112 SMITH ST. -
JONESBORO, GA 30236",Clayton,GA,58-6000802,COUNTY GOVERNMENT,3832302,NA,13063 
135,"COBB COUNTY BOARD OF COMMISSIONERS
100 CHEROKEE ST.
MARIETTA, GA 30090",Cobb,GA,NA,COUNTY GOVERNMENT,5662659,NA,13067 
136,"COMM OF ROADS & REVENUE DAWSON
COUNTY - 25 JUSTICE WAY; SUITE
2214 - DAWSONVILLE, GA 30534",Dawson,GA,NA,COUNTY GOVERNMENT,21912,NA,13085 
137,"DEKALB COUNTY, GEORGIA
1300 COMMERCE DR., 6TH FL.
DECATUR, GA 30030",DeKalb,GA,58-6000814,COUNTY GOVERNMENT,9625041,NA,NA
138,"DOUGHERTY COUNTY BOARD OF
COMMISSIONERS - P.O. BOX 1827 -
ALBANY, GA 31701",Dougherty,GA,58-6000817,COUNTY GOVERNMENT,295235,NA,13095 
139,"DOUGLAS COUNY BOARD OF
COMMISIONERS - 1155 PEACHTREE ST.,
SUITE 900 - ATLANTA, GA 30309",Douglas,GA,58-6000818,COUNTY GOVERNMENT,1662490,NA,13097 
140,"DOUGLAS COUNTY BOARD OF
COMMISSIONERS - 1155 PEACHTREE
ST., SUITE 900 - ATLANTA, GA 30309",Douglas,GA,58-6000818,COUNTY GOVERNMENT,565407,NA,13097 
141,"EARLY COUNTY BOARD OF ELECTIONS							
17 MCDONALD AVE							
BLAKELY, GA 39823",Early,GA,58-6000819,COUNTY GOVERNMENT,37109,NA,13099 
142,"FLOYD COUNTY, GEORGIA							
12 EAST 4TH AVE.							
ROME, GA 30161",Floyd,GA,58-6000827,COUNTY GOVERNMENT,54924,NA,13115 
143,"FORSYTH COUNTY BOARD OF
COMMISSIONERS - 110 E. MAIN ST. -
CUMMING, GA 30040",Forsyth,GA,58-6000828,COUNTY GOVERNMENT,528622,NA,13117 
144,"FULTON COUNTY BOARD OF
COMMISSIONERS -GA WARRANT ACCOUNT
- 141 PRYOR ST SW, SUITE 7001 -
ATLANTA, GA 30303",Fulton,GA,58-6001729,COUNTY GOVERNMENT,10673036,NA,13121 
145,"GWINNETT COUNTY BOARD OF
COMMISSIONERS - 75 LANGLEY DR. -
LAWRENCEVILLE, GA 30046",Gwinnett,GA,NA,COUNTY GOVERNMENT,6398525,NA,13135 
146,"HENRY COUNTY BOARD OF
COMMISSIONERS - 140 HENRY PARKWAY
- MCDONOUGH, GA 30253",Henry,GA,NA,COUNTY GOVERNMENT,487794,NA,13151 
147,"JACKSON COUNTY GOVERNMENT BOARD OF
ELECTIONS AND REGISTRATION - 441
GORDON ST. - JEFFERSON, GA 30549",Jackson,GA,NA,COUNTY GOVERNMENT,31185,NA,13157 
148,"LANIER COUNTY BOARD OF
COMMISSIONERS - 56 W. MAIN ST.,
SUITE 9 - LAKELAND, GA 31635",Lanier,GA,NA,COUNTY GOVERNMENT,17996,NA,13173 
149,"LEE COUNTY BOARD OF COMMISSIONERS
102 STARKSVILLE AVE. N
LEESBURG, GA 31763",Lee,GA,NA,COUNTY GOVERNMENT,61952,NA,13177 
150,"LINCOLN COUNTY GEORGIA							
PO BOX 340							
LINCOLNTON, GA 30817",Lincoln,GA,NA,COUNTY GOVERNMENT,26212,NA,13181 
151,"LOWNDES COUNTY BOARD OF							
COMMISSIONERS - 327 N. ASHLEY ST.							
- VALDOSTA, GA 31601",Lowndes,GA,NA,COUNTY GOVERNMENT,346368,NA,13185 
152,"LUMPKIN COUNTY BOARD OF
COMMISSIONERS - 99 COURTHOUSE HILL
- DAHLONEGA, GA 30533",Lumpkin,GA,NA,COUNTY GOVERNMENT,14604,NA,13187 
153,"MADISON COUNTY BOARD OF ELECTIONS
& REGISTRATION/MADISON COUNTY
BOARD OF CO - P.O. BOX 328 -
DANIELSVILLE, GA 30633",Madison,GA,NA,COUNTY GOVERNMENT,29126,NA,13195 
154,"COLUMBUS CONSOLIDATED GOVERNMENT
P.O. BOX 1340
COLUMBUS, GA 31904",Columbus,GA,NA,COUNTY GOVERNMENT,724740,NA,NA
