"countyfips"	"sort"	"popch2023"	"pop_pctch2023"	"nat2023"	"int_mig2023"	"dom_mig2023"	"STNAME"	"CTYNAME"	"ESTIMATESBASE2020"	"POPESTIMATE2023"	"bach19"	"bach22"	"pop25_19"	"pop25_22"	"cont_code"	"party"	"pctwon"	"RUCC_2023"	"RUCC23_desc"
"32003"	1751	71098	"3"	10758	15519	43913	"Nevada"	"Clark County"	2265475	2336573	400107	436898	1560947	1612099	"1"	"DEMOCRATIC"	53.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"37183"	1984	60923	"5"	19990	12346	28855	"North Carolina"	"Wake County"	1129352	1190275	404498	451801	747815	800325	"1"	"DEMOCRATIC"	62.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"49049"	2804	59780	"9"	28624	4209	27000	"Utah"	"Utah County"	659394	719174	131804	159049	320787	359974	"3"	"REPUBLICAN"	67.8	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"04021"	109	58239	"14"	958	2486	55504	"Arizona"	"Pinal County"	426000	484239	62965	74641	324018	325679	"2"	"REPUBLICAN"	57.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12097"	371	49120	"13"	4823	12105	32060	"Florida"	"Osceola County"	388664	437784	60509	83226	248607	282891	"2"	"DEMOCRATIC"	56.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"37119"	1952	48167	"4"	23502	20359	3355	"North Carolina"	"Mecklenburg County"	1115534	1163701	343595	388699	752114	779742	"1"	"DEMOCRATIC"	66.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12109"	377	46688	"17"	-694	1424	46803	"Florida"	"St. Johns County"	273422	320110	86055	116323	187354	220932	"2"	"REPUBLICAN"	62.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"45051"	2344	46446	"13"	-5691	1664	50525	"South Carolina"	"Horry County"	351032	397478	64768	79753	265998	288791	"3"	"REPUBLICAN"	66.1	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48453"	2752	44743	"3"	28420	18072	-1987	"Texas"	"Travis County"	1290218	1334961	467371	534690	888630	938274	"1"	"DEMOCRATIC"	71.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12111"	378	44360	"13"	-2719	2137	45197	"Florida"	"St. Lucie County"	329226	373586	51693	69588	240303	262047	"3"	"REPUBLICAN"	50.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12099"	372	41602	"3"	-7920	28902	20391	"Florida"	"Palm Beach County"	1492199	1533801	415119	457101	1101068	1122303	"2"	"DEMOCRATIC"	56.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12095"	370	41508	"3"	19333	38268	-16634	"Florida"	"Orange County"	1429908	1471416	332717	406859	944200	992892	"1"	"DEMOCRATIC"	61	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12081"	362	41381	"10"	-4500	3032	42881	"Florida"	"Manatee County"	399714	441095	92942	117256	302893	328675	"3"	"REPUBLICAN"	57.6	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12069"	356	40500	"11"	-6016	2290	44355	"Florida"	"Lake County"	383962	424462	69257	82399	273207	305473	"2"	"REPUBLICAN"	59.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48257"	2654	40383	"28"	2908	398	37194	"Texas"	"Kaufman County"	145307	185690	16280	30501	85762	108618	"2"	"REPUBLICAN"	66.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48209"	2630	39429	"16"	4694	1042	33793	"Texas"	"Hays County"	241057	280486	50809	78075	139245	166832	"2"	"DEMOCRATIC"	54.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12009"	327	37358	"6"	-11948	2744	46610	"Florida"	"Brevard County"	606621	643979	137015	170348	450772	472034	"3"	"REPUBLICAN"	57.6	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12127"	386	36820	"7"	-11929	2737	46151	"Florida"	"Volusia County"	553537	590357	99408	119384	412871	431403	"3"	"REPUBLICAN"	56.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12031"	337	35256	"4"	6967	10631	16669	"Florida"	"Duval County"	995566	1030822	201495	238387	658820	699621	"1"	"DEMOCRATIC"	51.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12115"	380	35003	"8"	-12917	2463	45982	"Florida"	"Sarasota County"	434010	469013	126273	151366	346738	372225	"3"	"REPUBLICAN"	54.8	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12083"	363	34055	"9"	-9564	1647	41967	"Florida"	"Marion County"	375904	409959	56431	67837	273855	296702	"3"	"REPUBLICAN"	62.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"45045"	2341	32493	"6"	3060	4976	24025	"South Carolina"	"Greenville County"	525543	558036	130844	157744	358605	376965	"3"	"REPUBLICAN"	58.1	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48091"	2571	32435	"20"	306	100	32508	"Texas"	"Comal County"	161493	193928	43522	56720	109243	128918	"2"	"REPUBLICAN"	70.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"08123"	308	30455	"9"	7154	1195	22000	"Colorado"	"Weld County"	328987	359442	62942	79561	210630	229780	"3"	"REPUBLICAN"	57.6	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48139"	2595	30384	"16"	2797	401	27413	"Texas"	"Ellis County"	192445	222829	31087	42954	119062	135668	"2"	"REPUBLICAN"	66.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"16001"	554	29712	"6"	3386	2018	24955	"Idaho"	"Ada County"	494961	524673	130750	164971	329339	358124	"3"	"REPUBLICAN"	50.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"45083"	2360	28706	"9"	-898	1589	27802	"South Carolina"	"Spartanburg County"	327992	356698	57199	60138	217131	233791	"3"	"REPUBLICAN"	62.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12021"	333	28550	"8"	-3473	6556	25747	"Florida"	"Collier County"	375760	404310	104880	126513	293211	307777	"3"	"REPUBLICAN"	62	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48215"	2633	27684	"3"	22943	4079	-26	"Texas"	"Hidalgo County"	870787	898471	93951	108975	493247	511077	"3"	"DEMOCRATIC"	58	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48039"	2545	26903	"7"	5007	2122	19486	"Texas"	"Brazoria County"	372035	398938	72329	82999	245811	254850	"2"	"REPUBLICAN"	58.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"05007"	116	26673	"9"	4564	2344	19814	"Arkansas"	"Benton County"	284340	311013	64129	77673	183203	201794	"3"	"REPUBLICAN"	61.7	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"16027"	567	26572	"11"	4063	858	21926	"Idaho"	"Canyon County"	231102	257674	29397	36016	143774	160656	"3"	"REPUBLICAN"	68.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"13135"	456	26220	"3"	17600	13849	-5499	"Georgia"	"Gwinnett County"	957306	983526	235585	244414	601285	630083	"2"	"DEMOCRATIC"	58.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"10005"	321	26134	"11"	-3051	1058	28406	"Delaware"	"Sussex County"	237375	263509	55382	71112	176801	195931	"3"	"REPUBLICAN"	55.1	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"37101"	1943	25961	"12"	2412	903	22906	"North Carolina"	"Johnston County"	215994	241955	33450	46964	138897	158636	"2"	"REPUBLICAN"	61.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"08035"	264	25908	"7"	5590	1489	19150	"Colorado"	"Douglas County"	357998	383906	136812	160303	235325	258961	"2"	"REPUBLICAN"	52.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"47149"	2505	25618	"8"	4701	2147	18610	"Tennessee"	"Rutherford County"	341483	367101	64084	77879	208175	230296	"2"	"REPUBLICAN"	56.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"45015"	2326	25391	"11"	2504	1394	21380	"South Carolina"	"Berkeley County"	229826	255217	42062	52681	153104	163347	"3"	"REPUBLICAN"	54.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48367"	2709	25274	"17"	981	306	24072	"Texas"	"Parker County"	148220	173494	23855	39772	95222	112086	"2"	"REPUBLICAN"	81.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"01089"	45	24446	"6"	1568	1700	21205	"Alabama"	"Madison County"	388154	412600	113275	129594	257136	277522	"3"	"REPUBLICAN"	52.8	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"18057"	728	24176	"7"	5358	3513	15454	"Indiana"	"Hamilton County"	347469	371645	139757	150787	221657	244960	"2"	"REPUBLICAN"	52.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48397"	2724	23463	"22"	1521	363	21842	"Texas"	"Rockwall County"	107844	131307	27765	33542	69312	81289	"2"	"REPUBLICAN"	68.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"37019"	1902	23269	"17"	-2746	73	26071	"North Carolina"	"Brunswick County"	136695	159964	37831	43257	114779	123427	"3"	"REPUBLICAN"	61.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48251"	2651	22898	"13"	1402	274	21237	"Texas"	"Johnson County"	180008	202906	21741	30989	114824	128980	"2"	"REPUBLICAN"	75.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48027"	2539	22536	"6"	10330	1406	10749	"Texas"	"Bell County"	370657	393193	56326	64499	222526	238761	"3"	"REPUBLICAN"	53.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"49053"	2806	22177	"12"	1460	251	20851	"Utah"	"Washington County"	180275	202452	31623	47918	116046	130774	"4"	"REPUBLICAN"	73.9	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"34029"	1791	21962	"3"	5830	1185	15306	"New Jersey"	"Ocean County"	637235	659197	134652	153340	416503	446582	"2"	"REPUBLICAN"	63.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12119"	382	21820	"17"	-6870	189	28405	"Florida"	"Sumter County"	129745	151565	39304	49682	118386	130872	"4"	"REPUBLICAN"	67.9	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"01003"	2	21739	"9"	-1273	657	22425	"Alabama"	"Baldwin County"	231768	253507	51471	59850	159717	178759	"4"	"REPUBLICAN"	76.2	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"06077"	226	21735	"3"	9742	6064	5709	"California"	"San Joaquin County"	779230	800965	96795	116879	484712	509375	"3"	"DEMOCRATIC"	55.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"47093"	2477	21703	"5"	-653	1521	20352	"Tennessee"	"Knox County"	478966	500669	119420	132048	316983	331988	"3"	"REPUBLICAN"	56.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"24021"	1205	21681	"8"	3193	2375	16237	"Maryland"	"Frederick County"	271710	293391	74520	93266	177932	196560	"2"	"DEMOCRATIC"	53.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"40017"	2142	21678	"14"	2115	293	19334	"Oklahoma"	"Canadian County"	154151	175829	26679	36069	97242	110736	"2"	"REPUBLICAN"	70.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"13117"	447	21600	"9"	2465	2402	16961	"Georgia"	"Forsyth County"	251287	272887	89745	100835	160296	177175	"2"	"REPUBLICAN"	65.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"13057"	417	20008	"8"	2486	1033	16552	"Georgia"	"Cherokee County"	266594	286602	67316	80789	176477	194601	"2"	"REPUBLICAN"	68.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"47125"	2493	19876	"9"	5835	183	13667	"Tennessee"	"Montgomery County"	219996	239872	39945	45850	129477	147640	"3"	"REPUBLICAN"	55	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"51041"	2843	19815	"5"	3020	2172	14490	"Virginia"	"Chesterfield County"	364061	383876	96251	118203	238956	256793	"2"	"DEMOCRATIC"	52.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"04019"	108	19727	"2"	-7700	7556	19196	"Arizona"	"Pima County"	1043435	1063162	231808	267349	710449	721417	"3"	"DEMOCRATIC"	58.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12015"	330	19309	"10"	-7158	914	25772	"Florida"	"Charlotte County"	186825	206134	35037	46382	158584	168448	"4"	"REPUBLICAN"	63	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"06061"	218	18816	"5"	-469	1684	17831	"California"	"Placer County"	404745	423561	118018	123392	281521	296525	"2"	"REPUBLICAN"	52.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12053"	348	18299	"9"	-5726	644	23491	"Florida"	"Hernando County"	194508	212807	28595	33217	144676	155415	"2"	"REPUBLICAN"	64.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"37179"	1982	18218	"8"	1977	1300	15009	"North Carolina"	"Union County"	238234	256452	57782	61917	154095	163081	"2"	"REPUBLICAN"	61.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12011"	328	18150	"1"	8434	49857	-39959	"Florida"	"Broward County"	1944381	1962531	458840	518243	1392064	1396625	"2"	"DEMOCRATIC"	64.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"53011"	2961	17844	"4"	3371	2250	12250	"Washington"	"Clark County"	503306	521150	105218	118263	333679	361084	"2"	"DEMOCRATIC"	51	"1"	"Metro - Counties in metro areas of 1 million population or more"
"39041"	2066	17501	"8"	2072	1557	13998	"Ohio"	"Delaware County"	214135	231636	72296	86516	138636	152078	"2"	"REPUBLICAN"	52.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"53061"	2986	16808	"2"	10383	9037	-2760	"Washington"	"Snohomish County"	827953	844761	190002	228980	575484	594717	"2"	"DEMOCRATIC"	58.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"47187"	2524	16736	"7"	2321	1220	13522	"Tennessee"	"Williamson County"	247724	264460	96322	108184	155962	172767	"2"	"REPUBLICAN"	62.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48291"	2671	16641	"18"	1006	132	15639	"Texas"	"Liberty County"	91631	108272	7083	5696	57272	63366	"2"	"REPUBLICAN"	79.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"45091"	2364	16231	"6"	1741	942	13702	"South Carolina"	"York County"	282089	298320	67165	83028	191318	201854	"2"	"REPUBLICAN"	57.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12035"	339	16067	"14"	-2989	404	18747	"Florida"	"Flagler County"	115372	131439	23446	31692	88396	99856	"3"	"REPUBLICAN"	60	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"47189"	2525	15926	"11"	601	640	14546	"Tennessee"	"Wilson County"	147748	163674	35241	39370	100464	109758	"2"	"REPUBLICAN"	67.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"45019"	2328	15886	"4"	3827	2690	9313	"South Carolina"	"Charleston County"	408481	424367	136205	151168	294309	302242	"3"	"DEMOCRATIC"	55.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48187"	2619	15743	"9"	1246	99	14338	"Texas"	"Guadalupe County"	172711	188454	32576	37735	111089	121980	"2"	"REPUBLICAN"	61.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"05143"	184	15683	"6"	3894	2302	9395	"Arkansas"	"Washington County"	245866	261549	46435	55549	145660	157157	"3"	"REPUBLICAN"	50.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"12005"	325	15561	"9"	-811	1351	14994	"Florida"	"Bay County"	175208	190769	33269	37791	126060	133422	"4"	"REPUBLICAN"	71.1	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"45063"	2350	15551	"5"	567	1078	14044	"South Carolina"	"Lexington County"	293977	309528	62218	77464	207409	212078	"3"	"REPUBLICAN"	64.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"51107"	2875	15390	"4"	10274	5613	-937	"Virginia"	"Loudoun County"	420957	436347	166353	182901	266796	282964	"2"	"DEMOCRATIC"	61.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"42029"	2261	15369	"3"	3923	2696	8626	"Pennsylvania"	"Chester County"	534415	549784	196528	214000	359177	377779	"2"	"DEMOCRATIC"	58	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12113"	379	15163	"8"	-20	190	15058	"Florida"	"Santa Rosa County"	187999	203162	34545	42317	129127	139888	"3"	"REPUBLICAN"	72.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"13223"	499	14498	"9"	2281	686	11559	"Georgia"	"Paulding County"	168666	183164	24404	31196	110398	119091	"2"	"REPUBLICAN"	63.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"13139"	458	14378	"7"	2215	1274	10723	"Georgia"	"Hall County"	202889	217267	34293	42576	135110	140044	"4"	"REPUBLICAN"	70.9	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"37025"	1905	14225	"6"	2364	768	11165	"North Carolina"	"Cabarrus County"	225791	240016	49207	63682	142955	157997	"2"	"REPUBLICAN"	53.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12019"	332	14191	"7"	-745	646	14265	"Florida"	"Clay County"	218248	232439	43321	43283	151268	158070	"2"	"REPUBLICAN"	67.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"06071"	223	13951	"1"	24443	6109	-18074	"California"	"San Bernardino County"	2181660	2195611	312695	324956	1390788	1412051	"2"	"DEMOCRATIC"	54.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"13151"	464	13910	"6"	1910	546	11473	"Georgia"	"Henry County"	240703	254613	39998	46448	152577	162471	"2"	"DEMOCRATIC"	59.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"55025"	3062	13839	"2"	5838	6490	1156	"Wisconsin"	"Dane County"	561508	575347	196998	209883	363916	377099	"3"	"DEMOCRATIC"	75.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"08041"	267	13810	"2"	10773	1355	1275	"Colorado"	"El Paso County"	730405	744215	184045	209103	471313	492193	"3"	"REPUBLICAN"	53.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"08001"	246	13787	"3"	8923	2888	1583	"Colorado"	"Adams County"	519578	533365	85579	100251	336931	348368	"2"	"DEMOCRATIC"	56.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"47065"	2463	13655	"4"	519	1309	11459	"Tennessee"	"Hamilton County"	366209	379864	91013	101639	259208	264720	"3"	"REPUBLICAN"	53.8	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"16055"	581	13647	"8"	26	-81	14076	"Idaho"	"Kootenai County"	171363	185010	28366	38325	115561	129507	"4"	"REPUBLICAN"	70.2	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"40143"	2205	13591	"2"	4340	5171	3719	"Oklahoma"	"Tulsa County"	669277	682868	144477	155219	430396	446485	"3"	"REPUBLICAN"	56.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48021"	2536	13560	"14"	1233	171	12217	"Texas"	"Bastrop County"	97218	110778	9354	19130	56957	70088	"2"	"REPUBLICAN"	56	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12117"	381	13414	"3"	1098	5925	5969	"Florida"	"Seminole County"	470857	484271	137746	137882	334286	341302	"2"	"DEMOCRATIC"	50.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48231"	2641	13394	"13"	334	308	12693	"Texas"	"Hunt County"	99953	113347	13102	15257	65064	71203	"2"	"REPUBLICAN"	75.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"37129"	1957	13145	"6"	-626	766	12750	"North Carolina"	"New Hanover County"	225707	238852	69893	74571	162287	166758	"3"	"DEMOCRATIC"	50.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"37097"	1941	13025	"7"	-61	895	12324	"North Carolina"	"Iredell County"	186685	199710	38956	47387	126121	137165	"2"	"REPUBLICAN"	65.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"04025"	111	12871	"5"	-6841	412	19560	"Arizona"	"Yavapai County"	236210	249081	51869	55996	181941	193188	"4"	"REPUBLICAN"	63.9	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"12017"	331	12847	"8"	-7514	196	20296	"Florida"	"Citrus County"	153849	166696	27160	25194	120131	129884	"4"	"REPUBLICAN"	70.1	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"19153"	868	12845	"3"	6744	4696	1291	"Iowa"	"Polk County"	492410	505255	122600	137136	326674	334429	"3"	"DEMOCRATIC"	56.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"13157"	467	12703	"17"	606	245	11947	"Georgia"	"Jackson County"	75912	88615	12497	14864	50045	56452	"5"	"REPUBLICAN"	78.3	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"13121"	449	12430	"1"	11793	11752	-11063	"Georgia"	"Fulton County"	1066675	1079105	419530	433214	729041	744974	"1"	"DEMOCRATIC"	72.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"20091"	936	12360	"2"	7126	2897	1958	"Kansas"	"Johnson County"	609877	622237	229310	246373	409324	425339	"2"	"DEMOCRATIC"	53.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"40109"	2188	12311	"2"	7503	4871	-530	"Oklahoma"	"Oklahoma County"	796555	808866	170562	187002	522715	524289	"1"	"REPUBLICAN"	49.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"45057"	2347	12204	"13"	-87	350	11992	"South Carolina"	"Lancaster County"	96011	108215	16151	23853	70463	75376	"2"	"REPUBLICAN"	60.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"42091"	2292	12201	"1"	739	4121	7190	"Pennsylvania"	"Montgomery County"	856541	868742	293806	326464	586787	612393	"2"	"DEMOCRATIC"	62.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"53063"	2987	12115	"2"	698	1411	9772	"Washington"	"Spokane County"	539340	551455	110968	130510	358868	381794	"3"	"REPUBLICAN"	50.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"37063"	1924	12046	"4"	5677	5464	1100	"North Carolina"	"Durham County"	324846	336892	110031	126418	223247	231307	"3"	"DEMOCRATIC"	80.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"45013"	2325	11873	"6"	-368	1019	11293	"South Carolina"	"Beaufort County"	187106	198979	56789	65714	138686	141265	"4"	"REPUBLICAN"	54.4	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"38017"	2001	11845	"6"	3472	1964	6390	"North Dakota"	"Cass County"	184517	196362	48798	53916	117528	121221	"4"	"REPUBLICAN"	49.5	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"48423"	2737	11725	"5"	639	616	10329	"Texas"	"Smith County"	233484	245209	41805	42883	152733	159265	"4"	"REPUBLICAN"	69	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"47165"	2513	11709	"6"	98	408	11184	"Tennessee"	"Sumner County"	196285	207994	40256	49424	131695	141431	"2"	"REPUBLICAN"	68.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"08069"	281	11697	"3"	1023	1054	9255	"Colorado"	"Larimer County"	359074	370771	116752	131335	238189	248105	"3"	"DEMOCRATIC"	56.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"18063"	731	11609	"7"	1305	878	9611	"Indiana"	"Hendricks County"	174778	186387	42547	44821	115132	123354	"2"	"REPUBLICAN"	60.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"32031"	1764	11529	"2"	909	2516	8233	"Nevada"	"Washoe County"	486493	498022	103406	110180	328153	349571	"3"	"DEMOCRATIC"	50.8	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"29183"	1577	11388	"3"	1521	1574	8329	"Missouri"	"St. Charles County"	405271	416659	111551	117421	276339	287265	"2"	"REPUBLICAN"	57.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"27163"	1398	11379	"4"	2467	1127	7850	"Minnesota"	"Washington County"	267557	278936	82121	91417	179294	190359	"2"	"DEMOCRATIC"	53.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
